Product Name,Barcode,Product Group,Designed Capacity (ml),Material Type,"Height (with cap, in mm)",Registration Status,Weight - Empty(gm),Date Approval Status updated,Largest diameter (mm),Expiry Date,Glass Colour,PET Colour,Glass Colour - Other,Beverage Registrations #,Product Group - Other,Material Type - Other,NSW Refund Logo,Removable Lid?
Organic Ginger Lemon Kombucha 330ml,26331942,Fruit juice,330,Glass,220,Active,30,9-May-18,55,2-May-23,Amber/Brown,,,BR-0008774,,,TRUE,
Organic Raspberry Lemon Kombucha 330ml,26332017,Fruit juice,330,Glass,220,Active,30,9-May-18,55,2-May-23,Amber/Brown,,,BR-0008775,,,TRUE,
Maisel IPA,40173023,Beer,330,Glass,240,Active,200,28-Jun-19,60,26-Jun-24,Amber/Brown,,,BR-0008294,,,TRUE,
Landbier 1857,40173085,Beer,500,Glass,270,Active,250,28-Jun-19,70,26-Jun-24,Amber/Brown,,,BR-0008280,,,TRUE,
Landbier Dunkel,40173108,Beer,500,Glass,280,Active,250,28-Jun-19,70,26-Jun-24,Amber/Brown,,,BR-0008282,,,TRUE,
Landbier Zwickl,40173207,Beer,500,Glass,270,Active,250,28-Jun-19,70,26-Jun-24,Amber/Brown,,,BR-0008281,,,TRUE,
Maisel Pale Ale,40173306,Beer,330,Glass,240,Active,200,28-Jun-19,60,26-Jun-24,Amber/Brown,,,BR-0008293,,,TRUE,
Maisels Dunkel,40173689,Beer,500,Glass,260,Active,250,28-Jun-19,70,26-Jun-24,Amber/Brown,,,BR-0008279,,,TRUE,
Maisel Marcs Chocolate Bock,40173702,Beer,750,Glass,300,Active,300,28-Jun-19,90,26-Jun-24,Amber/Brown,,,BR-0008292,,,TRUE,
Maisel Stefans Indian Ale,40173719,Beer,750,Glass,300,Active,300,28-Jun-19,90,26-Jun-24,Amber/Brown,,,BR-0008291,,,TRUE,
Maisel Jeffs Bavarian Ale,40173726,Beer,750,Glass,300,Active,300,28-Jun-19,90,26-Jun-24,Amber/Brown,,,BR-0008290,,,TRUE,
Weissenohe Dunkel,41059128,Beer,500,Glass,230,Active,250,28-Jun-19,80,26-Jun-24,Amber/Brown,,,BR-0008284,,,TRUE,
Weissenohe Dopplebock,41059166,Beer,500,Glass,230,Active,250,28-Jun-19,80,26-Jun-24,Amber/Brown,,,BR-0008285,,,TRUE,
Weissenohe Pils,41059173,Beer,500,Glass,230,Active,250,28-Jun-19,80,26-Jun-24,Amber/Brown,,,BR-0008283,,,TRUE,
CORONA BTLS 355ML,70532814,Beer,355,Glass,240,Active,255,19-Jan-18,60,16-Jan-23,Flint/Clear,,,BR-0008069,,,FALSE,
Tecate,75002459,Beer,355,Aluminium,122,Active,17,30-Nov-17,66,30-Nov-22,,,,BR-0004064,,,FALSE,No
Modello Especial (12 x 355ml),75027278,Beer,355,Glass,185,Active,165,20-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0005132,,,FALSE,
Modello Negra (12 x 355ml),75027285,Beer,355,Glass,190,Active,146,20-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0005133,,,FALSE,
Corona,75041670,Beer,330,Glass,260,Active,175,15-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0002934,,,FALSE,
Peroni Red Long Necks (15 x 660ml),80067900,Beer,660,Glass,270,Active,243,20-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0005138,,,FALSE,
Nastro Azzurro Long Necks (15 x 660ml),80067931,Beer,660,Glass,270,Active,266,20-Nov-17,70,30-Nov-22,Green,,,BR-0005134,,,FALSE,
PERONI NA BTLS 330ML,80067986,Beer,330,Glass,227,Active,190,19-Jan-18,60,16-Jan-23,Green,,,BR-0008073,,,FALSE,
STIEGL GOLDBRAU CAN,90034558,Beer,500,Aluminium,170,Active,33,7-Dec-17,65,1-Dec-22,,,,BR-0007597,,,FALSE,No
Nippy's Apple Juice Unsweetened 500ml Bottle,93265065,Fruit juice,500,PET,185,Active,26.1,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005158,,,FALSE,
Nippy's Apple & Blackcurrant Juice 500ml,93332965,Fruit juice,500,PET,185,Active,26.1,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005153,,,FALSE,
Bilpin Apple Juice 300ml Clear,93342230,Fruit juice,300,PET,159,Active,33,16-Nov-17,58,30-Nov-22,,Clear/Transparent,,BR-0005536,,,FALSE,
Cedar Creek Orchard 300ml Apple & Blackcurrant Juice,93345590,Fruit juice,300,PET,159,Active,33,16-Nov-17,58,30-Nov-22,,Clear/Transparent,,BR-0005535,,,TRUE,
